가	g a
고기	g o g i
고기압	g o g i a P
고난	g o n a N
고는	g o n eu N
고단	g o d a N
고달플	g o d a L p eu L
고대	g o d e
고도	g o d o
고독	g o d o K
고든	g o d eu N
고등	g o d eu NG
고등교육	g o d eu NG g y o y u K
고등어	g o d eu NG eo
고등학교	g o d eu NG h a K kk y o
고등학생	g o d eu NG h a K ss e NG
고락	g o r a K
고래	g o r e
고려	g o r y eo
고려대	g o r y eo d e
고령	g o r y eo NG
고령화	g o r y eo NG h w a
고루	g o r u
고르	g o r eu
고른	g o r eu N
고를	g o r eu L
고리	g o r i
고리타분	g o r i t a b u N
고릴라	g o r i L r a
고립	g o r i P
고마움	g o m a u M
고마워	g o m a w eo
고마워요	g o m a w eo y o
고마웠	g o m a w eo T
고만	g o m a N
고맙	g o m a P
고메스	g o m e s eu
고모	g o m o
고무	g o m u
고문	g o m u N
고민	g o m i N
고민거리	g o m i N g eo r i
고밀	g o m i L
고바야시	g o b a y a s i
고발	g o b a L
고발인	g o b a r i N
고발자	g o b a L j a
고발장	g o b a L j a NG
고백	g o b e K
고베	g o b e
고부	g o b u
고비	g o b i
고사	g o s a
고사총	g o s a ch o NG
고상	g o s a NG
고생	g o s e NG
고서	g o s eo
고선	g o s eo N
고성	g o s eo NG
고성군	g o s eo NG g u N
고소	g o s o
고소득	g o s o d eu K
고소인	g o s o i N
고속	g o s o K
고속도	g o s o K tt o
고속도로	g o s o K tt o r o
고속버스	g o s o K pp eo s eu
고수	g o s u
고수부지	g o s u b u j i
고스란히	g o s eu r a N h i
고승	g o s eu NG
고시	g o s i
고심	g o s i M
고아	g o a
고아원	g o a w eo N
고액	g o e K
고양이	g o y a NG i
고여	g o y eo
고영주	g o y eo NG j u
고영태	g o y eo NG t e
고요	g o y o
고용	g o y o NG
고용주	g o y o NG j u
고운	g o u N
고위	g o w i
고위직	g o w i j i K
고유	g o y u
고의	g o eu i
고인	g o i N
고임금	g o i M g eu M
고자	g o j a
고작	g o j a K
고장	g o j a NG
고장난	g o j a NG n a N
고전	g o j eo N
고정	g o j eo NG
고정익	g o j eo NG i K
고조	g o j o
고종실록	g o j o NG s i L r o K
고지	g o j i
고질	g o j i L
고집	g o j i P
고차	g o ch a
고착	g o ch a K
고체	g o ch e
고쳐	g o ch y eo
고쳐라	g o ch y eo r a
고쳐야	g o ch y eo y a
고쳤	g o ch y eo T
고초	g o ch o
고추	g o ch u
고추장	g o ch u j a NG
고춧가루	g o ch u T kk a r u
고충	g o ch u NG
고층	g o ch eu NG
고치	g o ch i
고치현	g o ch i h y eo N
고칠	g o ch i L
고통	g o t o NG
고파	g o p a
고파요	g o p a y o
고프	g o p eu
고픈	g o p eu N
고함	g o h a M
고향	g o h y a NG
고흥길	g o h eu NG g i L
고희	g o h eu i
곡	g o K
곡괭이	g o K kk w e NG i
곡물	g o NG m u L
곡선	g o K ss eo N
곡성	g o K ss eo NG
곡소리	g o K ss o r i
곤	g o N
곤두세우	g o N d u s e u
곤드라지	g o N d eu r a j i
곤란	g o L r a N
곤욕	g o N n y o K
곤충	g o N ch u NG
곤혹	g o N h o K
곧	g o T
곧바로	g o T pp a r o
곧이어	g o j i eo
곧잘	g o T jj a L
곧장	g o T jj a NG
골	g o L
골격	g o L g y eo K
골고루	g o L g o r u
골다공증	g o L d a g o NG j eu NG
골라	g o L r a
골랐	g o L r a T
골로빈	g o L r o b i N
골머리	g o L m eo r i
골목	g o L m o K
골목길	g o L m o K kk i L
골몰	g o L m o L
골반	g o L b a N
골뱅이	g o L b e NG i
골자	g o L j a
골절	g o L j eo L
골절상	g o L j eo L s a NG
골조	g o L j o
골치	g o L ch i
골프	g o L p eu
골프장	g o L p eu j a NG
곰	g o M
곰곰이	g o M g o m i
곰돌이	g o M d o r i
곰팡내	g o M p a NG n e
